"Action","Akce"
"Enable Blog RSS Feed","Povolit RSS kanál aktualit"
"Enable Comments","Povolit komentáře"
"Enable Footer Link","Povolit odkaz v patičce"
"Enable Left Menu","Povolit levé menu"
"Enable Right Menu","Povolit pravé menu"
"Enable Top Link","Povolit odkaz v hlavičce"
"Enabled","Povolen"
"Frequency","Opakování"
"Go to Home Page","Na hlavní stránku"
"Google Sitemap","Google Sitemap"
"Hidden","Skrytý"
"Home","Domů"
"ID","ID"
"Identifier","Identifikátor"
"Keywords","Klíčová slova"
"Leave blank to use current user name","Pro použití jména aktuálního uživatele nechejte prázdné"
"Logged in Auto Approve Comments","Automaticky schválit komentáře přihlášených uživatelů"
"Login Required to Comment","Pro přidání komentáře se musíte přihlásit"
"Manage Categories","Správce kategorií"
"Manage Comments","Správce komentářů"
"Manage Posts","Správce aktualit"
"Manage Products","Správce produktů"
"Menus and Links","Menu a odkazy"
"Meta Data","Meta data"
"Meta Description","Meta popis"
"Meta Keywords","Meta klíčová slova"
"Name","Jméno"
"No posts in this category.","V této kategorii nejsou žádné aktuality."
"Number of characters in a post to display before it is truncated and the read more link added. 0 for Unlimited.","Počet znaků příspěvku před jeho zkrácením a přidáním odkazu 'Více'. 0 pro neomezený počet znaků."
"Number of post to display in the RSS feed.","Počet aktualit zobrazených v RSS kanálu."
"Only comments made by users that are logged in will automaticlly be approved.","Pouze komentáře přihlášených uživatelů budou automaticky schváleny"
"Page Layout","Vzhled stránky"
"Please select categories","Vyberte prosím kategorie"
"Please select comment(s)","Vyberte prosím komentář(e)"
"Please select post(s)","Vyberte prosím aktualitu(y)"
"Post was successfully deleted","Aktualita byla úspěšně smazána"
"Post does not exist","Aktualita neexistuje"
"Post Identifier already exists.","Identifikátor aktuality již existuje."
"Post Identifier cannot consist only of numbers.","Identifikátor aktuality nemůže obsahovat pouze čísla."
"Post Information","Informace o aktualitě"
"Post was successfully deleted","Aktualita byla úspěšně smazána"
"Post was successfully saved","Aktualita byla úspěšně uložena"
"Posted By","Přidal"
"Posted in","Zveřejněno v kategorii"
"Poster","Autor"
"Posts Per Page","Aktualit na stránku"
"Priority","Priorita"
"Read More","Více"
"Recent Posts","Nejnovější aktuality"
"Relative to current skin directory eg. images/rsslogo.jpg","Relativně k adresáři současného vzhledu, např. 'images/rsslogo.jpg'."
"Return to","Zpět na"
"Return to ","Zpět na "
"Route to Blog","Cesta k aktualitám"
"RSS Feed","RSS kanál"
"RSS Feed Image","Obrázek RSS kanálu"
"RSS Posts to Show","Počet aktualit v RSS kanálu"
"Save Category","Uložit kategorii"
"Save Comment","Uložit komentář"
"Save Post","Uložit aktualitu"
"Show Bookmarks in Lists","Ukázat záložky v seznamu"
"Show Bookmarks in Posts","Ukázat záložky v aktualitách"
"Show Breadcrumbs","Ukázat drobečkovou navigaci"
"Sort Order","Pořadí řazení"
"Status","Stav"
"Store View","Pohled obchodu"
"Submit Comment","Odeslat komentář"
"Summary Character Count","Počet znaků souhrnu"
"The number of recent post to be displayed in the menu. 0 to disable.","Počet nejnovějších aktualit zobrazovaných v menu. 0 pro vypnutí menu."
"The number posts displayed per page. 0 to disable pages.","Počet aktualit zobrazených na stránce. 0 pro vypnutí stránkování."
"Title","Název"
"to log in","přihlásit se"
"Total of %d comment(s) were successfully approved","Celkem %d komentářů bylo úspěšně schváleno"
"Total of %d comment(s) were successfully unapproved","Celkem %d komentářů bylo úspěšně zamítnuto"
"Total of %d comments(s) were successfully deleted","Celkem %d komentářů bylo úspěšně smazáno"
"Total of %d record(s) were successfully deleted","Celkem %d záznamů bylo úspěšně smazáno"
"Total of %d record(s) were successfully updated","Celkem %d záznamů bylo úspěšně aktualizováno"
"Unable to find category to save","Nelze najít kategorii k uložení"
"Unable to find comment to save","Nelze najít komentář k uložení"
"Unable to find post to save","Nelze najít aktualitu k uložení"
"Unable to submit your comment. Please, try again later","Váš komentář nelze odeslat. Zkuste to prosím později."
"Unapprove","Zamítnout"
"Updated","Aktualizováno"
"User","Uživatel"
"You must be logged in to comment.","Pro přidání komentáře musíte být přihlášeni."
"You must be logged in to post a comment.","Pro přidání komentáře musíte být přihlášeni."
"Your comment has been submitted and is awaiting approval.","Váš komentář byl odeslán a čeká na schválení."
"Your comment has been submitted.","Váš komentář byl odeslán."
"eg. ""news"" will make the blog accessible from domain.com/news. Must not contain any slashes. Blank for default","např. ""novinky"" zpřístupní blog na adrese 'domena.cz/novinky'. Nesmí obsahovat žádná lomítka. Nechejte prázdné pro výchozí hodnotu 'blog'."
"< Newer Posts","&laquo; Novější aktuality"
"Older Posts >","Starší aktuality &raquo;"
